TOWN,Median Age,Median Home Value,Unemployment Rate,Per Income Capita,Tenure_Owner_Occupied(%),Tenure_Renter_Occupied(%),Housing Units,TOWN_NO,COUNTY,Heat_Pumps(2017),Heat_Pumps(2018),Heat_Pumps(2019),Heat_Pumps(2020),Heat_Pumps(2021),Heat_Pumps(2022),Heat_Pumps(2023),total_area,CTAdopt17,CTAdopt18,CTAdopt19,CTAdopt20,CTAdopt21,CTAdopt22,CTAdopt23,Asian,American_Indian_and_Alaska_Native,Native_Hawaiian_and_Other_Pacific_Islander,Black_or_African_American,Hispanic_or_Latino,Some_Other_Race,White,Total Population,Poverty(%),Total_Population,25_to_29_Years,30_to_34_Years,35_to_39_Years,40_to_44_Years,45_to_49_Years,50_to_54_Years,55_to_59_Years,60_to_64_Years,18_to_24_Years,65_and_Over_Years,Total_Households,Median_Household_Income,SNAP_Recipients,Utility_gas,Bottled_tank_or_LP_gas,Electricity,Fuel_oil_kerosene_etc.
Andover,47.9,297400,4.7,44803,88.4,11.6,1275,1,Tolland,3,8,5,8,15,14,34,0.004404558,0.002352941,0.00627451,0.003921569,0.002352941,0.00627451,0.003921569,0.026666667,1.4,0,0,3.3,1.9,0,90.2,,2.52,3160,7.9,5.2,3.8,2.8,5.6,8.7,13.2,9.6,9.5,17.7,1216,99449,2.88,1.40,7.90,5.10,74.60
Ansonia,42.4,217800,9.6,30285,59.42,40.58,8867,2,New Haven,,1,7,13,14,28,37,0.001741555,,0.000112778,0.000789444,,0.000112778,0.000789444,0.004172775,1.4,0,0,12.2,21.6,0,61.7,18945,14.67,18954,7.0,8.4,8.1,5.1,4.0,6.5,8.4,8.4,6.5,18.4,7806,53709,15.6,48.60,1.50,7.90,40.60
Ashford,37.8,271700,4.9,46602,73.68,26.32,2033,3,Windham,13,16,18,24,31,32,42,0.011093245,0.006394491,0.007870143,0.00885391,0.006394491,0.007870143,0.00885391,0.020659124,0.4,0,0,0,5.4,0,92.1,,6.87,4218,5.2,7.3,13.5,5.0,4.2,7.3,6.3,7.4,7.0,14.2,1774,84909,8.23,1.10,2.70,16.60,62.60
Avon,45.2,371900,4.1,74617,83.27,16.73,8042,4,Hartford,11,40,26,26,60,76,123,0.006571786,0.001367819,0.004973887,0.003233027,0.001367819,0.004973887,0.003233027,0.015294703,14,0,0,0.9,3.5,0.9,78.8,18821,4.38,18852,2.3,4.8,4.5,8.7,6.3,9.2,7.4,7.6,5.0,20.9,6977,123077,2.85,43.10,4.50,8.80,42.50
Barkhamsted,48.3,262900,5,43558,92.66,7.34,1473,5,Litchfield,2,3,9,10,20,23,26,0.010883439,0.001357773,0.00203666,0.00610998,0.001357773,0.00203666,0.00610998,0.017651052,3.2,0,0,0.1,2,0.8,92.8,,5.85,3660,3.0,8.1,5.1,5.6,7.1,8.1,8.1,5.9,6.0,24.0,1336,103500,2.1,0.70,2.80,7.40,80.70
Beacon Falls,50.1,251600,5.3,42714,87.74,12.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,47.8,291600,5.1,49967,84.42,15.58,8568,7,Hartford,14,16,25,37,66,50,111,0.007587483,0.001633987,0.001867414,0.002917834,0.001633987,0.001867414,0.002917834,0.012955182,4.4,0,0,0.6,4.4,0.3,88.9,20107,4.38,20149,4.5,3.9,6.1,4.7,6.2,7.7,10.0,6.4,7.4,22.9,8181,102075,4.91,55.40,3.00,4.30,35.90
Bethany,44.1,408900,4.1,70042,90.78,9.22,1761,8,New Haven,8,13,5,21,21,22,49,0.005967803,0.004542873,0.007382169,0.002839296,0.004542873,0.007382169,0.002839296,0.027825099,6.1,0,0,2.3,2.8,0,86,,2.72,5295,2.1,4.4,7.7,8.9,6.6,7.7,6.7,7.1,9.9,18.2,2018,151034,2.03,2.30,8.70,2.40,80.20
Bethel,41.5,344500,5.1,43233,78.75,21.25,7772,9,Fairfield,6,13,18,21,39,60,62,0.004723346,0.000772002,0.001672671,0.002316006,0.000772002,0.001672671,0.002316006,0.007977355,7.2,0,0.1,6.6,9.4,0.4,74.9,20287,3.74,20406,4.8,7.8,4.6,5.4,6.3,7.4,9.6,7.7,8.4,14.6,7164,94973,8.04,20.20,2.30,22.40,53.10
Bethlehem,50.6,342300,5.1,47482,83.72,16.28,1503,10,Litchfield,6,4,10,14,21,20,44,0.005499051,0.003992016,0.002661344,0.00665336,0.003992016,0.002661344,0.00665336,0.029274784,1.7,0,0,0.4,3,0.6,91.8,,6.77,3399,6.4,7.2,2.8,6.4,4.4,4.1,9.1,11.5,6.9,20.8,1204,92237,4.32,1.90,5.10,11.90,70.20
