,,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,Grand Total
,,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Total
Legal Town,Utility,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,Subtotal
Andover,Eversource,,,3,3,1,,7,8,,,5,5,,,8,8,,1,14,,15,1,1,12,,14,15,,20,,35,88
Ansonia,UI,,,,,,,1,1,,,7,7,,,13,13,,,14,,14,1,,27,,28,27,,24,,51,114
Ashford,Eversource,,,13,13,,,16,16,,1,17,18,,,24,24,1,,30,,31,2,,31,,33,18,,24,,42,177
Avon,Eversource,,1,10,11,3,,37,40,2,,24,26,2,,24,26,9,3,50,,62,23,5,48,,76,75,4,45,,124,365
Barkhamsted,Eversource,,,2,2,,,3,3,1,1,7,9,,,10,10,1,,19,,20,3,1,19,,23,9,2,16,,27,94
Beacon Falls,Eversource,,,4,4,,,11,11,,,4,4,,,10,10,1,,14,,15,1,,19,,20,13,,7,,20,84
Berlin,Eversource,,,14,14,1,,15,16,,,25,25,1,,36,37,5,,61,,66,10,,40,,50,75,1,41,2,119,327
Bethany,Eversource,,,8,8,,1,12,13,,,5,5,4,1,16,21,2,2,17,,21,3,,19,,22,23,4,25,,52,142
Bethel,Eversource,,,6,6,2,,11,13,,,18,18,,,21,21,4,1,34,,39,2,,58,,60,36,,27,8,71,228
Bethlehem,Eversource,,,6,6,,,4,4,,,10,10,,,14,14,,,21,,21,5,1,15,,21,26,3,19,,48,124
Bloomfield,Eversource,3,,10,13,,,11,11,,,14,14,1,,19,20,9,1,24,,34,6,2,30,,38,40,1,24,,65,195
Bolton,Eversource,,,11,11,,,10,10,,,15,15,1,,14,15,2,1,44,,47,5,1,32,,38,14,,19,,33,169
Branford,Eversource,,,48,48,,,60,60,,1,76,77,,,76,76,8,,120,1,129,7,,127,,134,83,,78,2,163,687
Bridgeport,UI,,,,,,,8,8,,,35,35,,,20,20,,,69,,69,4,,33,,37,54,,36,3,93,262
Bridgewater,Eversource,,,7,7,,,3,3,,,3,3,1,,8,9,2,,14,,16,3,,15,,18,15,1,7,,23,79
Bristol,Eversource,3,,19,22,2,,34,36,,,41,41,2,,70,72,23,1,109,,133,23,2,104,3,132,117,3,101,,221,657
Brookfield,Eversource,1,,19,20,1,,18,19,,,20,20,1,,45,46,6,2,45,,53,26,,43,,69,49,4,42,,95,322
Brooklyn,Eversource,,,6,6,,,19,19,,,27,27,,,31,31,,,34,,34,,1,35,,36,25,,28,,53,206
Burlington,Eversource,3,1,15,19,,,19,19,1,,20,21,3,,23,26,2,,39,,41,18,1,46,,65,46,4,21,,71,262
Canaan,Eversource,,,2,2,,,2,2,,,3,3,,,7,7,,,6,,6,,,5,,5,4,1,6,,11,36
Canterbury,Eversource,,,8,8,,,20,20,,,8,8,1,,13,14,1,,29,,30,2,,35,,37,6,,11,,17,134
Canton,Eversource,,,9,9,1,,13,14,,,22,22,1,,28,29,5,,46,,51,9,,40,,49,31,1,37,,69,243
Chaplin,Eversource,,,5,5,,,4,4,,,10,10,,,15,15,,,14,,14,,1,11,,12,11,2,6,,19,79
Cheshire,Eversource,4,,26,30,6,1,31,38,2,,50,52,1,,40,41,7,6,87,,100,13,2,77,,92,105,11,96,2,214,567
Chester,Eversource,,,7,7,,,15,15,1,,6,7,1,1,7,9,1,,27,,28,2,2,28,,32,23,1,35,,59,157
Clinton,Eversource,,,20,20,,,33,33,,,49,49,1,,55,56,4,,98,,102,10,1,90,1,102,61,1,56,2,120,482
Colchester,Eversource,,,22,22,,,26,26,,1,40,41,2,1,37,40,3,1,69,,73,12,1,71,,84,57,5,57,,119,405
Colebrook,Eversource,,,,,,,2,2,,,2,2,,,5,5,,,13,,13,,,11,,11,6,,6,,12,45
Columbia,Eversource,1,,9,10,,,13,13,,,16,16,,,32,32,2,,43,,45,1,,35,,36,33,3,16,,52,204
Cornwall,Eversource,,,,,,,2,2,,,2,2,1,,2,3,,,7,,7,4,6,19,,29,10,,14,,24,67
Coventry,Eversource,,1,14,15,,1,32,33,,1,23,24,2,,39,41,3,,68,,71,5,1,63,,69,51,,34,,85,338
Cromwell,Eversource,,,16,16,1,,13,14,,,23,23,1,,17,18,5,,34,,39,7,2,46,,55,45,,11,,56,221
Danbury,Eversource,8,,29,37,3,,33,36,,,28,28,2,,38,40,10,3,86,,99,31,,120,,151,92,2,81,4,179,570
Darien,Eversource,,,5,5,1,,16,17,,,18,18,10,1,23,34,2,6,58,,66,26,10,33,,69,88,9,24,,121,330
Deep River,Eversource,,,6,6,,,9,9,,,17,17,,,7,7,1,,21,,22,2,,37,,39,22,,33,,55,155
Derby,UI,,,,,,,,,,,4,4,,,10,10,,2,13,,15,5,,15,,20,28,,10,,38,87
Durham,Eversource,,,12,12,,,15,15,,,22,22,,,22,22,5,1,28,,34,1,1,20,,22,31,1,24,3,59,186
East Granby,Eversource,,,5,5,1,1,5,7,,,13,13,,,10,10,,2,30,,32,3,,20,,23,14,,16,,30,120
East Haddam,Eversource,,,18,18,,,21,21,,1,27,28,,,40,40,5,,36,,41,5,1,66,,72,54,4,41,,99,319
East Hampton,Eversource,,,19,19,1,,19,20,,,24,24,3,,21,24,1,1,55,,57,13,1,59,,73,31,4,45,,80,297
East Hartford,Eversource,,,17,17,,,19,19,,,29,29,2,,29,31,2,,45,,47,5,,41,,46,37,1,27,7,72,261
East Haven,UI,,,,,,,8,8,,,31,31,,,23,23,,,54,,54,7,1,57,,65,43,,64,,107,288
East Lyme,Eversource,,2,53,55,,1,96,97,,2,102,104,1,2,116,119,4,,226,,230,11,10,168,,189,124,11,119,,254,"1,048"
East Windsor,Eversource,,,6,6,1,,19,20,,,17,17,,,25,25,,,38,,38,3,,31,,34,28,2,20,,50,190
Eastford,Eversource,,1,8,9,,,2,2,,,13,13,,,10,10,,,14,,14,,,10,,10,3,,8,,11,69
